HRLM,TC,GSR
8,32.6875,20440000.00000002
8,32.75,40900000.000000045
8,32.6875,20440000.00000002
,32.625,29208571.42857145
,32.8125,13620000.000000011
,32.625,18580000.000000015
,32.75,34080000.00000003
,32.625,20440000.00000002
,32.6875,25555000.000000022
,32.6875,12767500.000000011
,32.75,22713333.333333354
,32.8125,25555000.000000022
,32.625,25555000.000000022
,32.75,18580000.000000015
,32.8125,25555000.000000022
,32.6875,17030000.000000015
,32.625,20440000.00000002
,32.8125,14594285.714285726
,32.5625,18580000.000000015
,32.8125,18580000.000000015
,32.625,20440000.00000002
,32.625,25555000.000000022
,32.6875,17030000.000000015
,32.625,22713333.333333354
,32.6875,22013846.153845865
,32.6875,
,32.875,
,32.6875,
,32.625,
,32.625,
,32.8125,
,32.75,
,32.8125,
,32.5625,
,32.75,
,32.625,
,32.75,
,32.6875,
,32.6875,
,32.75,
,32.75,
,32.8125,
,32.625,
,32.625,
,32.5625,
,32.625,
,32.625,
,32.75,
,32.6875,
,32.625,
,32.8125,
,32.6875,
,32.625,
,32.8125,
,32.6875,
,32.6875,
,32.6875,
,32.6875,
,32.5625,
,32.8125,
,32.6875,
,32.625,
,32.625,
,32.8125,
,32.75,
,32.75,
,32.5625,
,32.625,
,32.6875,
,32.625,
,32.6875,
,32.8125,
,32.75,
,32.6875,
,32.6875,
,32.6875,
,32.625,
,32.625,
,32.875,
,32.625,
,32.75,
,32.6875,
,32.625,
,32.625,
,32.875,
,32.75,
,32.75,
,32.625,
,32.75,
,32.75,
,32.6875,
,32.6875,
,32.75,
,32.75,
,32.625,
,32.75,
,32.75,
,32.6875,
,32.75,
,32.5,
,32.625,
,32.8125,
,32.6875,
,32.625,
,32.6875,
,32.625,
,32.8125,
,32.75,
,32.6875,
,32.75,
,32.6875,
,32.6875,
,32.75,
,32.875,
,32.75,
,32.6875,
,32.625,
,32.625,
,32.6875,
,32.625,
,32.6875,
,32.6875,
,32.5,
,32.8125,
,32.6875,
,32.5625,
,32.8125,
,32.625,
,32.6875,
,32.8125,
,32.8125,
,32.75,
,32.75,
,32.6875,
,32.75,
,32.625,
,32.6875,
,32.625,
,32.8125,
,32.8125,
,32.8125,
,32.8125,
,32.6875,
,32.5625,
,32.625,
,32.6875,
,32.625,
,32.75,
,32.625,
,32.625,
,32.6875,
,32.75,
,32.6875,
,32.75,
,32.6875,
,32.625,
,32.5625,
,32.625,
,32.625,
,32.75,
,32.75,
,32.75,
,32.6875,
,32.875,
,32.625,
,32.75,
,32.8125,
,32.75,
,32.625,
,32.8125,
,32.8125,
,32.75,
,32.875,
,32.5625,
,32.625,
,32.625,
,32.6875,
,32.625,
,32.625,
,32.8125,
,32.75,
,32.75,
,32.625,
,32.75,
,32.875,
,32.625,
,32.625,
,32.75,
,32.8125,
,32.75,
,32.625,
,32.5625,
,32.75,
,32.625,
,32.625,
,32.6875,
,32.8125,
,32.6875,
,32.625,
,32.625,
,32.625,
,32.6875,
,32.625,
,32.75,
,32.8125,
,32.625,
,32.625,
,32.8125,
,32.625,
,32.75,
,32.75,
,32.75,
,32.6875,
,32.6875,
,32.6875,
,32.8125,
,32.5625,
,32.75,
,32.75,
,32.6875,
,32.625,
,32.625,
,32.6875,
,32.5625,
,32.6875,
,32.625,
,32.625,
,32.625,
,32.75,
,32.75,
,32.75,
,32.625,
,32.625,
,32.75,
,32.5625,
,32.8125,
,32.6875,
,32.8125,
,32.8125,
,32.6875,
,32.75,
,32.8125,
,32.75,
,32.75,
,32.625,
,32.625,
,32.8125,
